대분류,중분류,기능명,Description
애플리케이션 접속,로그인,로그인,"- 아이디, 비밀번호 입력 후 로그인
- 아이디 찾기, 비밀번호 찾기, 회원가입 버튼 유도"
,,아이디 찾기,- '관리자에게 문의하세요' 표시하기
,,비밀번호 찾기,- '관리자에게 문의하세요' 표시하기
,회원가입,회원가입,"- 이름, 아이디, 비밀번호, 비밀번호 확인
- 이메일 인증
- 몇 분반으로 갈지 선택할 수 있게 만들기"
게임 매칭,오프라인 ,하나의 컴퓨터에서 플레이,조작 (하나의 컴퓨터에서 playerL과 playerR이 함께 플레이)
,온라인 (랜덤),,조작 (각각 playerR이 되어서 서로 온라인으로 플레이함)
,온라인 (코드로 지정해서 작동시키기),코드 입력하기,
,,코드 생성하기,
게임 설정,조작키,,"기본적으로 playerL(왼쪽에 있는 사람) / playerR(오른쪽에 있는 사람) 이라는 표현을 사용함.
playerL과 playerR은 랜덤하게 player1과 player2로 배정이 됨.
playerL : {key1: q / key2: w}
playerR : {key1: u / key2: i}"
,조작키 변경,,위 설정을 변경할 수 있음.
게임,게임1,(게임 설명),"각 사용자에게 숫자가 배정이 되고 중심에 숫자 하나가 등장해있음. -> 나에게 배정된 숫자를 중심에 있는 숫자에 두고, 3초 기다려야 게임에서 승리함"
,,조작,"{} -> 여기 안에서, 왼쪽에 있는게 key1, 오른쪽에 있는게 key2임
player1 {숫자 내리기 / 숫자 올리기}
player2 {숫자 내리기 / 숫자 올리기}"
,,로직,숫자가 일치하는 상태에서 3초 이상 있으면 해당 플레이어가 승리함
,,랜덤 요소,"- 타겟 숫자 범위 : [1, 100]
- 배정 당시 플레이어 배정 숫자 != 타겟 숫자로만 강제"
,게임2,(게임 설명),다음과 같은 사람이 배치되어있음  ----->
,,조작,"player1(공격하는 사람) {움직이는 방향 바꾸기 / 총 발사하기}
player2 (피하는 사람) {왼쪽으로 이동 / 오른쪽으로 이동}"
,,로직,"player1: 자동으로 움직임.화면 오른쪽에서 위아래로 움직임.
player2: 캐릭터에 충돌 시 사망"
,,랜덤 요소,- 총알 움직이는 속도 랜덤
,게임3,(게임 설명),좌우에 펜싱하는 사람들이 배치되어있음.
,,조작,
,,로직,
,,랜덤 요소,
기타,,게임 등수 표시,"- 게임 승리 수 TOP 3 && 내 등수 표시
- TOP 3 유저별 플레이 게임 수, 승리 수, 승률 표시"
admin 페이지,그룹관리,그룹 생성,그룹 이름 설정
,,그룹 내 인원 보기,- 참가 버튼을 누르면 검색창 띄움
,,그룹내 인원 추가 / 삭제 / 수정,
,,,
,,,
,,,
,,,
점수 시스템,,,어드민에서 수정할 수 있게
